query_id	target_id	target_type	relevance
522vis:low:0001	aihub_522_intersection_vis:train:102011_2021090908474418	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:103011_2021090815345833	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:103011_2021090908003133	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:103011_2021090909393846	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:114011_2021090815370828	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:114022_2021090908361052	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:134011_2021090906362741	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:141022_2021090909291976	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:151011_2021090909105250	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:153011_2021090814004800	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:153011_2021090814424742	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:154011_2021090908044277	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:161011_2021090814024950	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:162011_2021090815441840	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:163011_2021090906552937	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:163011_2021090909002953	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:164011_2021090814433827	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:24011_2021090814292407	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:31011_2021090815195307	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:32022_2021090906432966	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:33022_2021090813585250	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:44011_2021090814174956	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:51011_2021090909251243	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:52011_2021090908351266	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:62022_2021090814430510	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:63022_2021090907262430	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:64011_2021090814292409	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:72011_2021090908013050	clip	3
522vis:low:0001	aihub_522_intersection_vis:val:21011_2021090814000563	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:92022_2021090909262016	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:92022_2021090907180834	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:92022_2021090815570633	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:92022_2021090814411993	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:92022_2021090814110161	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:91022_2021090815144978	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:81011_2021090907373334	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:101011_2021090907335944	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:101011_2021090909195508	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:103011_2021090907534200	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:113011_2021090908070405	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:12022_2021090815181280	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:134011_2021090814105921	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:14011_2021090814070834	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:142022_2021090815240700	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:151011_2021090908282244	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:151011_2021090909205293	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:153011_2021090814310736	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:153011_2021090906582243	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:154011_2021090815422301	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:163011_2021090906575940	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:23022_2021090814332908	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:24011_2021090814223500	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:31011_2021090908152891	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:32022_2021090907032937	clip	3
522vis:low:0001	aihub_522_intersection_vis:train:32022_2021090909211161	clip	3
